ID Kombinasi,Kategori pH Tanah,Kategori Tekstur/Fisik Tanah,Kategori Bahan Organik (BO),Rekomendasi Dosis Dasar Biochar Aktif (kg/m²)*,Konversi Aplikasi SPOT (g/lubang ~30L)**,Konversi Aplikasi BAND/FURROW (g/m lajur)***,Fokus Utama Aplikasi & CATATAN PENTING (untuk Pengguna Awam)
SM-L-SR,Sangat Masam,Berat/Liat,Sangat Rendah,2.0 - 3.0 kg/m²,180 - 270 g (0.45 - 0.68 L) per Lubang ~30L,400 - 600 g (1.0 - 1.5 L) per meter lajur bedeng,"Kondisi Ekstrem! Fokus: Naikkan pH drastis, perbaiki kegemburan & drainase. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar)."
SM-L-R,Sangat Masam,Berat/Liat,Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, perbaiki kegemburan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar)."
SM-L-S,Sangat Masam,Berat/Liat,Sedang,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, perbaiki kegemburan. Tambah pupuk kompos/kandang PENTING untuk hasil optimal."
SM-L-T,Sangat Masam,Berat/Liat,Tinggi,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan. Bahan organik tinggi membantu, tapi struktur liat tetap perlu perhatian. Biochar bantu stabilkan pH & organik."
SM-PM-SR,Sangat Masam,Sedang/Lempung,Sangat Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,Fokus: Naikkan pH drastis. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar) untuk menghidupkan tanah.
SM-PM-R,Sangat Masam,Sedang/Lempung,Rendah,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,Fokus: Naikkan pH signifikan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar).
SM-PM-S,Sangat Masam,Sedang/Lempung,Sedang,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,Fokus: Naikkan pH signifikan. Tambah pupuk kompos/kandang PENTING.
SM-PM-T,Sangat Masam,Sedang/Lempung,Tinggi,1.0 - 1.5 kg/m²,90 - 135 g (0.23 - 0.34 L) per Lubang ~30L,200 - 300 g (0.5 - 0.75 L) per meter lajur bedeng,Fokus: Naikkan pH signifikan. Tanah sudah punya modal BO tinggi. Biochar dosis sedang untuk optimalkan pH.
SM-R-SR,Sangat Masam,Ringan/Pasir,Sangat Rendah,2.0 - 3.0 kg/m²,180 - 270 g (0.45 - 0.68 L) per Lubang ~30L,400 - 600 g (1.0 - 1.5 L) per meter lajur bedeng,"Kondisi Kritis! Fokus: Naikkan pH drastis, tingkatkan drastis simpanan AIR & NUTRISI. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar)."
SM-R-R,Sangat Masam,Ringan/Pasir,Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, tingkatkan simpanan AIR & NUTRISI. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar)."
SM-R-S,Sangat Masam,Ringan/Pasir,Sedang,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, tingkatkan simpanan AIR & NUTRISI. Tambah pupuk kompos/kandang PENTING."
SM-R-T,Sangat Masam,Ringan/Pasir,Tinggi,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan. BO tinggi membantu, biochar optimalkan pH dan simpanan nutrisi di tanah pasir."
SM-PK-SR,Sangat Masam,Padat/Kompak,Sangat Rendah,2.2 - 3.0 kg/m²,198 - 270 g (0.50 - 0.68 L) per Lubang ~30L,440 - 600 g (1.1 - 1.5 L) per meter lajur bedeng,"Kondisi Sangat Kritis! Fokus: Naikkan pH drastis, bongkar kepadatan. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x lipat biochar) dan usahakan pengolahan tanah untuk mencampur."
SM-PK-R,Sangat Masam,Padat/Kompak,Rendah,2.0 - 2.8 kg/m²,180 - 252 g (0.45 - 0.63 L) per Lubang ~30L,400 - 560 g (1.0 - 1.4 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, bongkar kepadatan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-4x lipat biochar)."
SM-PK-S,Sangat Masam,Padat/Kompak,Sedang,1.8 - 2.5 kg/m²,162 - 225 g (0.41 - 0.56 L) per Lubang ~30L,360 - 500 g (0.9 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan, bongkar kepadatan. Tambah pupuk kompos/kandang PENTING."
SM-PK-T,Sangat Masam,Padat/Kompak,Tinggi,1.5 - 2.2 kg/m²,135 - 198 g (0.34 - 0.50 L) per Lubang ~30L,300 - 440 g (0.75 - 1.1 L) per meter lajur bedeng,"Fokus: Naikkan pH signifikan. BO tinggi membantu lawan kepadatan, biochar perkuat."
M-L-SR,Masam,Berat/Liat,Sangat Rendah,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH, perbaiki kegemburan. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x biochar)."
M-L-R,Masam,Berat/Liat,Rendah,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Naikkan pH, perbaiki kegemburan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar)."
M-L-S,Masam,Berat/Liat,Sedang,1.0 - 1.5 kg/m²,90 - 135 g (0.23 - 0.34 L) per Lubang ~30L,200 - 300 g (0.5 - 0.75 L) per meter lajur bedeng,"Fokus: Naikkan pH, perbaiki kegemburan. Tambah pupuk kompos/kandang PENTING."
M-L-T,Masam,Berat/Liat,Tinggi,0.8 - 1.2 kg/m²,72 - 108 g (0.18 - 0.27 L) per Lubang ~30L,160 - 240 g (0.4 - 0.6 L) per meter lajur bedeng,"Fokus: Naikkan pH. BO tinggi membantu, biochar stabilkan."
M-PM-SR,Masam,Sedang/Lempung,Sangat Rendah,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,Fokus: Naikkan pH. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x biochar) untuk kesuburan.
M-PM-R,Masam,Sedang/Lempung,Rendah,1.0 - 1.5 kg/m²,90 - 135 g (0.23 - 0.34 L) per Lubang ~30L,200 - 300 g (0.5 - 0.75 L) per meter lajur bedeng,Fokus: Naikkan pH. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar).
M-PM-S,Masam,Sedang/Lempung,Sedang,0.7 - 1.2 kg/m²,63 - 108 g (0.16 - 0.27 L) per Lubang ~30L,140 - 240 g (0.35 - 0.6 L) per meter lajur bedeng,"Fokus: Naikkan pH. Tambah pupuk kompos/kandang PENTING. (Kondisi pH awal Anda, jika BO Sedang & Tekstur Lempung)."
M-PM-T,Masam,Sedang/Lempung,Tinggi,0.5 - 1.0 kg/m²,45 - 90 g (0.11 - 0.23 L) per Lubang ~30L,100 - 200 g (0.25 - 0.5 L) per meter lajur bedeng,"Fokus: Naikkan pH. Tanah subur, biochar optimalkan pH."
M-R-SR,Masam,Ringan/Pasir,Sangat Rendah,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH, tingkatkan drastis simpanan AIR & NUTRISI. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x biochar)."
M-R-R,Masam,Ringan/Pasir,Rendah,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Naikkan pH, tingkatkan simpanan AIR & NUTRISI. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar)."
M-R-S,Masam,Ringan/Pasir,Sedang,1.0 - 1.5 kg/m²,90 - 135 g (0.23 - 0.34 L) per Lubang ~30L,200 - 300 g (0.5 - 0.75 L) per meter lajur bedeng,"Fokus: Naikkan pH, tingkatkan simpanan AIR & NUTRISI. Tambah pupuk kompos/kandang PENTING."
M-R-T,Masam,Ringan/Pasir,Tinggi,0.8 - 1.2 kg/m²,72 - 108 g (0.18 - 0.27 L) per Lubang ~30L,160 - 240 g (0.4 - 0.6 L) per meter lajur bedeng,"Fokus: Naikkan pH. BO tinggi sudah bantu, biochar optimalkan."
M-PK-SR,Masam,Padat/Kompak,Sangat Rendah,1.8 - 2.8 kg/m²,162 - 252 g (0.41 - 0.63 L) per Lubang ~30L,360 - 560 g (0.9 - 1.4 L) per meter lajur bedeng,"Fokus: Naikkan pH, bongkar kepadatan. WAJIB tambah SANGAT BANYAK pupuk kompos/kandang (minimal 3-5x biochar) + usahakan pengolahan tanah."
M-PK-R,Masam,Padat/Kompak,Rendah,1.5 - 2.5 kg/m²,135 - 225 g (0.34 - 0.56 L) per Lubang ~30L,300 - 500 g (0.75 - 1.25 L) per meter lajur bedeng,"Fokus: Naikkan pH, bongkar kepadatan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar)."
M-PK-S,Masam,Padat/Kompak,Sedang,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Naikkan pH, bongkar kepadatan. Tambah pupuk kompos/kandang PENTING."
M-PK-T,Masam,Padat/Kompak,Tinggi,1.0 - 1.5 kg/m²,90 - 135 g (0.23 - 0.34 L) per Lubang ~30L,200 - 300 g (0.5 - 0.75 L) per meter lajur bedeng,"Fokus: Naikkan pH. BO tinggi bantu lawan kepadatan, biochar perkuat."
AM-L-SR,Agak Masam,Berat/Liat,Sangat Rendah,1.0 - 1.8 kg/m²,90 - 162 g (0.23 - 0.41 L) per Lubang ~30L,200 - 360 g (0.5 - 0.9 L) per meter lajur bedeng,"Fokus: Optimalkan pH, perbaiki kegemburan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar)."
AM-L-R,Agak Masam,Berat/Liat,Rendah,0.8 - 1.5 kg/m²,72 - 135 g (0.18 - 0.34 L) per Lubang ~30L,160 - 300 g (0.4 - 0.75 L) per meter lajur bedeng,"Fokus: Optimalkan pH, perbaiki kegemburan. PENTING tambah pupuk kompos/kandang."
AM-L-S,Agak Masam,Berat/Liat,Sedang,0.6 - 1.0 kg/m²,54 - 90 g (0.14 - 0.23 L) per Lubang ~30L,120 - 200 g (0.3 - 0.5 L) per meter lajur bedeng,"Fokus: Optimalkan pH, perbaiki kegemburan. Kombinasi dengan pupuk organik baik."
AM-L-T,Agak Masam,Berat/Liat,Tinggi,0.4 - 0.8 kg/m²,36 - 72 g (0.09 - 0.18 L) per Lubang ~30L,80 - 160 g (0.2 - 0.4 L) per meter lajur bedeng,"Fokus: Optimalkan pH. Tanah sudah subur, biochar jaga stabilitas."
AM-PM-SR,Agak Masam,Sedang/Lempung,Sangat Rendah,0.8 - 1.5 kg/m²,72 - 135 g (0.18 - 0.34 L) per Lubang ~30L,160 - 300 g (0.4 - 0.75 L) per meter lajur bedeng,Fokus: Optimalkan pH. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar) untuk kesuburan.
AM-PM-R,Agak Masam,Sedang/Lempung,Rendah,0.6 - 1.0 kg/m²,54 - 90 g (0.14 - 0.23 L) per Lubang ~30L,120 - 200 g (0.3 - 0.5 L) per meter lajur bedeng,Fokus: Optimalkan pH. PENTING tambah pupuk kompos/kandang.
AM-PM-S,Agak Masam,Sedang/Lempung,Sedang,0.4 - 0.8 kg/m²,36 - 72 g (0.09 - 0.18 L) per Lubang ~30L,80 - 160 g (0.2 - 0.4 L) per meter lajur bedeng,"Kondisi Cukup Baik. Fokus: Optimalkan pH, jaga kesuburan. Tambah pupuk organik akan lebih baik."
AM-PM-T,Agak Masam,Sedang/Lempung,Tinggi,0.2 - 0.5 kg/m²,18 - 45 g (0.05 - 0.11 L) per Lubang ~30L,40 - 100 g (0.1 - 0.25 L) per meter lajur bedeng,Tanah Subur. Fokus: Optimalkan pH sedikit. Dosis ringan untuk pemeliharaan.
AM-R-SR,Agak Masam,Ringan/Pasir,Sangat Rendah,1.0 - 1.8 kg/m²,90 - 162 g (0.23 - 0.41 L) per Lubang ~30L,200 - 360 g (0.5 - 0.9 L) per meter lajur bedeng,"Fokus: Optimalkan pH, tingkatkan simpanan AIR & NUTRISI. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar)."
AM-R-R,Agak Masam,Ringan/Pasir,Rendah,0.8 - 1.5 kg/m²,72 - 135 g (0.18 - 0.34 L) per Lubang ~30L,160 - 300 g (0.4 - 0.75 L) per meter lajur bedeng,"Fokus: Optimalkan pH, tingkatkan simpanan AIR & NUTRISI. PENTING tambah pupuk kompos/kandang."
AM-R-S,Agak Masam,Ringan/Pasir,Sedang,0.6 - 1.0 kg/m²,54 - 90 g (0.14 - 0.23 L) per Lubang ~30L,120 - 200 g (0.3 - 0.5 L) per meter lajur bedeng,"Fokus: Optimalkan pH, tingkatkan simpanan AIR & NUTRISI. Tambah pupuk organik baik."
AM-R-T,Agak Masam,Ringan/Pasir,Tinggi,0.4 - 0.8 kg/m²,36 - 72 g (0.09 - 0.18 L) per Lubang ~30L,80 - 160 g (0.2 - 0.4 L) per meter lajur bedeng,"Fokus: Optimalkan pH. BO tinggi sudah bantu, biochar stabilkan."
AM-PK-SR,Agak Masam,Padat/Kompak,Sangat Rendah,1.2 - 2.0 kg/m²,108 - 180 g (0.27 - 0.45 L) per Lubang ~30L,240 - 400 g (0.6 - 1.0 L) per meter lajur bedeng,"Fokus: Optimalkan pH, bongkar kepadatan. WAJIB tambah BANYAK pupuk kompos/kandang (minimal 2-3x biochar) + usahakan pengolahan tanah."
AM-PK-R,Agak Masam,Padat/Kompak,Rendah,1.0 - 1.8 kg/m²,90 - 162 g (0.23 - 0.41 L) per Lubang ~30L,200 - 360 g (0.5 - 0.9 L) per meter lajur bedeng,"Fokus: Optimalkan pH, bongkar kepadatan. PENTING tambah pupuk kompos/kandang."
AM-PK-S,Agak Masam,Padat/Kompak,Sedang,0.8 - 1.5 kg/m²,72 - 135 g (0.18 - 0.34 L) per Lubang ~30L,160 - 300 g (0.4 - 0.75 L) per meter lajur bedeng,"Fokus: Optimalkan pH, bongkar kepadatan. Tambah pupuk organik baik."
